"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"6","1237668731456390144",300.639387101779,-11.0580609386773,23.11487,22.31372,21.55841,21.44332,21.71121,0.150382265294933
"15","1237668731456325376",300.591603797851,-10.9781314624278,20.99765,19.59755,18.86199,18.60996,18.46356,0.141747047774903
"20","1237668731456389632",300.636138290507,-10.9786620949006,21.57581,19.9458,19.23354,18.98991,18.88039,0.142523981330041
"21","1237668731456325632",300.635944425023,-10.9653772505968,21.34587,20.04879,19.30768,19.05791,18.97531,0.14206683670436
"25","1237668731456325632",300.572085081393,-11.0908599027392,25.33088,22.08669,21.34271,21.19366,22.44467,0.150376478365656
"26","1237668731456325632",300.572083024486,-11.0935601737407,21.1191,19.62963,18.82302,18.66987,18.47218,0.141818082240258
"35","1237668731456391424",300.607759604775,-11.037583899063,23.87783,22.95108,22.24153,22.12742,21.12817,0.150380468728211
"36","1237668731456391424",300.607912995328,-11.0341829668131,22.4021,21.32589,20.60816,20.41213,20.46666,0.149594000231265
"37","1237668731456390400",300.71668946849,-10.9882494204394,22.92274,21.53735,20.8243,20.61303,20.79574,0.150126193972948
"41","1237668731456391424",300.673271451391,-10.9368887205651,25.44788,21.82904,21.11737,20.93537,21.3014,0.150375008739381
"42","1237668731456391424",300.673690477435,-10.942537355436,21.33655,20.48608,19.77638,19.62027,19.63573,0.14446150004402
"43","1237668731456391168",300.673504236504,-10.9763827783077,25.06782,21.41829,20.69499,20.46084,20.28653,0.150343119328117
"44","1237668731456391168",300.67377897603,-10.9785461172333,21.48604,20.02793,19.248,18.97298,18.75748,0.14234040685363
"45","1237668731456326656",300.57006325655,-11.0004025644127,22.08877,20.46015,19.67703,19.4288,19.27012,0.145634895806553
"46","1237668731456325632",300.569235821476,-11.0842955587112,21.28351,19.76785,19.03614,18.8723,18.76731,0.141629882551839
"50","1237668731456325376",300.576676623091,-11.0447415541358,21.5231,19.869,19.14055,18.95753,18.8001,0.142274203681417
"55","1237668731456390400",300.658359493908,-11.0839994884791,22.23251,21.13905,20.23948,20.03265,20.03725,0.148574393195905
"58","1237668731456391680",300.667242036334,-10.9574614650123,22.89341,21.43316,20.71376,20.46345,20.57271,0.149983371444236
"62","1237668731456391680",300.647739669877,-11.0052689430491,25.2323,22.32396,21.60262,21.38142,21.13416,0.150377102514587
"66","1237668731456391936",300.689573930345,-10.9658879825719,24.36461,21.99941,21.28245,21.09426,21.67268,0.150378844930786
"67","1237668731456326656",300.580211747213,-11.0409109553384,21.89376,20.79304,20.0632,19.85891,19.6589,0.146957215923018
"68","1237668731456325376",300.579530278261,-11.0033141090409,22.79857,20.99176,20.12004,19.85559,19.75461,0.148798569277275
"72","1237668731456392192",300.7333677743,-11.0883314803764,23.03718,21.72919,21.02322,20.82159,21.40307,0.150303349760349
"75","1237668731456325632",300.599103754022,-11.0367678608975,22.07527,20.43092,19.70039,19.51552,19.5162,0.145859995049489
"76","1237668731456391936",300.703550281303,-11.0047454651825,22.40442,22.30615,21.4756,21.36909,21.56765,0.150360250908821
"77","1237668731456326656",300.594819897407,-10.9405435303451,24.16736,21.16192,20.41897,20.17492,20.13489,0.150155645313704
"78","1237668731456325632",300.594677974414,-11.0379595204265,22.55803,20.50704,19.77205,19.57976,19.59505,0.147321803966461
