"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237679318018818560",7.48155161719205,9.52324924900993,23.5484,22.7868,22.39233,22.09984,22.39008,0.150373992976222
"5","1237678906248790784",7.32316341166847,9.57386779790873,23.18114,22.78287,22.47885,22.2257,21.6034,0.150374000200768
"6","1237679318018818304",7.44513364409778,9.53116084107657,24.19273,22.90009,22.51232,22.15085,21.71665,0.150373989916307
"7","1237679318018753536",7.34034731533103,9.5308659436131,25.712,23.37491,23.03446,22.82642,21.97622,0.15037398129605
