"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"8","1237663784213218304",36.1329723687276,0.11231503241271,24.96233,23.55329,22.77048,22.28576,21.80286,0.150400143321215
"11","1237666408458158848",36.018052580456,0.243629280433689,24.23091,23.41642,22.62046,22.05897,21.22705,0.150490975038558
"12","1237663784213217536",36.1552063382526,0.119554186265639,23.31179,22.76628,21.97242,21.38542,20.54257,0.151555044634022
"19","1237663784213152512",36.0436654130085,0.0844134075243825,25.03127,22.69399,21.88748,21.25922,20.68668,0.150646203605763
"20","1237666408458158848",36.0073441492283,0.242047651859142,22.91183,23.4372,22.58647,22.10134,22.51189,0.150510747978257
"21","1237666408458224384",36.1185009844551,0.237540438706163,23.14499,23.24758,22.44802,21.89294,20.88177,0.150828486389075
"22","1237663784213217792",36.1083212734843,0.152969875522218,24.45931,23.83803,22.98258,22.41876,22.71316,0.150387888632125
"23","1237663784213218304",36.1297665053528,0.189891220583445,23.55656,23.95586,23.06109,22.55714,22.4811,0.150401429428322
"26","1237663784213152768",36.076671924263,0.140226919225865,24.20226,23.44563,22.58119,22.04889,21.52344,0.150477700418932
"34","1237663784213217792",36.1586564867811,0.207138899352661,23.20354,23.32585,22.41719,21.81571,21.41785,0.150711626489318
"36","1237666408458223872",36.080054433161,0.246125822451089,23.49241,21.33838,20.46128,19.8793,19.33169,0.154599843415258
"37","1237663784213217792",36.1236941190487,0.182652926352753,23.71394,23.05067,22.27487,21.79313,22.46642,0.150558324647444
"41","1237663784213217536",36.1290091890578,0.109718339965997,22.09812,21.01153,20.18702,19.6761,19.37053,0.145321073818732
"42","1237663784213218304",36.1292955411481,0.0885633138437711,23.30063,23.61874,22.80861,22.31358,22.13685,0.150462346574612
"45","1237663784213218304",36.1730644888676,0.136346271618517,23.09876,23.65439,22.70467,22.19448,21.15075,0.150566959468548
"47","1237663784213217792",36.1147533899132,0.0810797863760384,23.60572,22.88793,22.02677,21.47623,20.98512,0.151076287969008
"48","1237663784213152768",36.06582053565,0.167392191881616,24.7563,23.90069,23.11376,22.58766,21.6599,0.150389015113456
"50","1237663784213152768",36.0361860142416,0.186143750201344,22.80381,24.03537,23.09114,22.55646,22.30768,0.150417125184838
"51","1237663784213152256",36.0365493280002,0.162214888217834,23.3701,22.41412,21.45479,20.9208,20.42006,0.152550703483162
