"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"2","1237660765919314176",148.312172700586,39.756027857661,23.35436,22.24409,21.11687,19.88633,19.41133,0.151227044500734
"3","1237660765919314176",148.231291870013,39.8451554407176,23.91052,22.69481,21.54691,20.22953,19.65994,0.150971318766536
"4","1237660765919248640",148.288408979178,39.711090386361,23.44861,21.19501,19.97352,18.74376,18.08087,0.148169511875341
"6","1237660765919314176",148.351808988937,39.8487646834846,24.20705,21.46371,20.14652,18.99907,18.40514,0.148748727570835
"7","1237660963480601344",148.179818643579,39.8695405506295,24.84727,22.88514,21.59082,20.41207,19.85311,0.150514452291639
