"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237656241159603200",330.844724510011,11.788818017706,23.77139,23.39051,22.84734,22.06244,21.25573,0.15037441266282
"2","1237652942089094144",330.829778685696,11.6442562225277,24.09754,23.13639,22.58908,21.90196,21.804,0.15037441708362
"3","1237656241159603456",330.897424477689,11.7506749773771,24.99455,23.01887,22.49545,21.86748,21.03945,0.150374272660483
"5","1237656241159537920",330.763898476793,11.8048962099771,25.44979,23.53943,22.96117,22.3353,21.86513,0.150374020817255
"6","1237656241159603200",330.861048313905,11.7951668851265,24.2408,23.49904,22.92608,22.26493,22.04835,0.150374138629142
