"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"2","1237651224634851584",256.141737381529,59.2009903285839,19.33463,19.25646,19.04279,18.97463,19.11203,0.940754929179635
"4","1237651224634917120",256.216747078428,59.0494503789636,21.03274,20.19842,19.90813,19.81519,19.73275,0.898289089932672
"5","1237651224634917376",256.224205652534,59.0650201626134,21.68214,20.89133,20.63374,20.55449,20.33153,0.340050309413342
"8","1237651224634917120",256.174109884878,59.1711439969235,21.04404,20.18958,19.88604,19.77648,19.72987,0.90125789271769
"9","1237651211213079040",255.981375221196,59.1271292195174,21.07814,20.19168,20.03871,19.89397,19.79449,0.889260644179029
"10","1237651211213078784",256.032271431828,59.1955741656699,19.10377,18.18149,18.00888,17.97961,17.99627,0.973102066807355
"11","1237651224634917376",256.293952150262,59.1052894265585,21.37124,20.43503,20.1227,20.07038,19.99532,0.766554983984251
"16","1237651224634917376",256.265273274225,59.0369289501753,20.58738,19.69476,19.39549,19.31072,19.2669,0.970294493119899
