"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"2","1237648720667082752",118.804533746843,-0.554094428025972,17.11157,15.9327,15.6655,15.53474,15.55871,0.995547914900475
"3","1237648720667083264",118.88652761975,-0.58221481571071,18.54026,17.11893,16.76214,16.53523,16.44231,0.989161687603652
"4","1237648720667148288",118.916224077797,-0.528821487495008,18.76589,17.52496,17.0799,16.94342,16.94266,0.992030832995793
"9","1237648720667082752",118.791749150028,-0.557702288651174,16.19486,15.02503,14.68338,14.5232,14.53052,0.990572090830246
"14","1237648720667083264",118.876001612628,-0.587616197127224,17.434,16.03075,15.68876,15.51084,15.47153,0.99256340330599
"15","1237648720667083264",118.874949326195,-0.530371830506313,18.43754,16.99025,16.61997,16.44654,16.39699,0.990172261729363
"18","1237648720667083776",118.860873541882,-0.605280582345801,19.42361,17.88685,17.44339,17.25402,17.19522,0.982476672920311
"21","1237648720667148288",118.931905241332,-0.525222547611542,17.9348,16.71507,16.27346,16.15474,16.15151,0.991325891467539
"22","1237648720667148288",118.931889117394,-0.486166706274715,17.40326,16.27774,15.88196,15.76482,15.75525,0.993429895665083
"23","1237648720667083264",118.908177274053,-0.481776597831739,16.77755,15.63457,15.32898,15.21662,15.18997,0.996548096980916
"24","1237648720667083008",118.821202010492,-0.509693098006459,17.49326,16.01559,15.66587,15.50855,15.47738,0.991938056046653
"28","1237648720667083776",118.832886314735,-0.51616064725487,19.72869,18.12108,17.7484,17.59601,17.54399,0.984660152862566
"31","1237648720667083008",118.805270871761,-0.572741644388396,17.43288,16.19935,15.85514,15.69982,15.69996,0.993274152528287
"32","1237648720667083264",118.848243003213,-0.498907720789443,19.07142,17.83854,17.5803,17.46247,17.42747,0.993398326165796
"33","1237648720667083008",118.847160985828,-0.470103936815139,16.88159,15.46901,15.02985,14.88354,14.83671,0.996302143782083
"37","1237648720667148288",118.910867087042,-0.610244950247345,18.90273,17.87016,17.45095,17.29427,17.31774,0.992353279883879
"38","1237648720667083264",118.899545665951,-0.520469063731579,17.52259,16.2226,15.89451,15.77758,15.74182,0.993096436424614
"39","1237648720667083264",118.834319402285,-0.580603430201454,17.8343,16.56435,16.29241,16.14867,16.17382,0.993153642760324
"44","1237648720667082752",118.770497340897,-0.540078871991424,18.2051,16.88933,16.50635,16.33862,16.31225,0.991145954285566
"45","1237648720667083264",118.849801688327,-0.591532572422522,17.14072,15.90614,15.63568,15.56336,15.50334,0.995667046326854
"46","1237648720667083264",118.868240441864,-0.619874860961427,17.80629,16.62155,16.33331,16.19029,16.16014,0.993109156129018
"48","1237648720667083520",118.80997293249,-0.48776306946591,19.42007,17.88021,17.48329,17.32223,17.29561,0.987010570721899
"50","1237648720667082752",118.794468305589,-0.541718811935175,17.40539,15.767,15.32667,15.14943,15.1193,0.991296775214073
"51","1237648720667083520",118.795255139666,-0.47396887799984,19.47476,18.11084,17.77568,17.65512,17.56697,0.990136065813194
"60","1237648720667083008",118.808856617854,-0.476862278372592,18.16696,16.86102,16.54033,16.40836,16.37423,0.99291156517692
"61","1237648720667083008",118.809251213433,-0.515704367357252,17.39739,16.03328,15.7491,15.62609,15.63632,0.994169990173203
"62","1237648720667082752",118.783709442,-0.570832594922057,17.82969,16.72771,16.41046,16.28209,16.296,0.993332438949655
"63","1237648720667083520",118.769860640871,-0.481143118183506,19.33125,18.10078,17.79612,17.65895,17.5858,0.991263792245174
"64","1237648720667083264",118.872145469025,-0.483830187847907,17.2314,16.0191,15.68697,15.53207,15.38003,0.994216305988639
"65","1237648720667083264",118.905351775052,-0.558808532556377,17.94358,16.68117,16.40835,16.28489,16.21586,0.993259097304895
