"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237648721248845824",221.324492680053,0.00430783212454414,18.58482,17.47624,17.04439,16.87656,16.85096,0.989559315777575
"6","1237648704593723648",221.395589870592,0.0314044219279584,20.96817,20.08097,19.73779,19.58017,19.56256,0.967706703739477
"8","1237648721248846080",221.350987307656,-0.120125442856661,19.59132,18.65697,18.37784,18.25725,18.25814,0.992144440063056
"9","1237648721248845824",221.335784335725,-0.105992128764574,19.19115,18.27575,17.97346,17.86818,17.81876,0.991956752753976
"11","1237648721248845824",221.329362328696,-0.0274335793156685,18.12245,16.96489,16.55258,16.4115,16.35279,0.989969385723751
"12","1237648704593658368",221.329777571561,0.0182330133698038,19.85985,18.93156,18.64461,18.51548,18.51685,0.992423018913324
"13","1237648721248845824",221.346639160184,-0.0756464569623667,18.72489,17.60414,17.21997,17.09488,17.01432,0.990942060978727
"16","1237648721248780544",221.285060104947,-0.0449687306850209,19.15174,18.33675,17.9773,17.86668,17.79866,0.990335645637873
"18","1237648721248846080",221.353406574195,-0.0609519997950529,20.66225,19.62133,19.18748,19.01971,18.84304,0.989968304179411
"21","1237648721248845824",221.4163710765,-0.0138151280693934,18.14714,17.074,16.72748,16.57149,16.49347,0.990525606382372
"24","1237648721248780800",221.28951933278,-0.00761649065992924,21.42682,20.66021,20.24074,20.11293,19.98769,0.805957241783041
"27","1237648721248846080",221.401480437162,-0.0619787163740854,19.77015,18.74341,18.41212,18.26953,18.22941,0.991492013832901
"28","1237648721248846336",221.401928693308,-0.0885659568313922,21.64383,20.58983,20.18246,20.03014,19.80672,0.84339976780502
"29","1237648721248846080",221.407879524766,-0.0912149709402657,19.76807,18.66996,18.33364,18.20149,18.13318,0.991448312487621
"30","1237648721248780544",221.253533773561,-0.0894235954027449,21.24169,20.21058,19.80382,19.65543,19.61273,0.949401595183072
"32","1237648721248780544",221.279173750666,-0.101889069664332,19.53579,18.59201,18.17399,18.04332,17.98362,0.989484867089732
"33","1237648721248845824",221.29621570516,-0.00620471498774929,20.59094,19.91049,19.6038,19.5544,19.384,0.981992400436959
"34","1237648721248845824",221.296218186621,-0.0988128780012842,18.69861,17.60044,17.17541,17.05748,16.9822,0.990543990754557
"40","1237648721248845824",221.299490218109,-0.0183916280475454,20.95586,20.13654,19.77003,19.69751,19.62488,0.960258795998878
"43","1237648721248780800",221.269700321288,-0.101440123303702,21.25464,20.46346,20.04194,19.89921,19.81415,0.897386143710373
"50","1237648721248845824",221.310305456366,-0.00658499534604613,17.91936,16.81913,16.39987,16.26902,16.23366,0.990937015123488
"56","1237648704593723648",221.406043434815,0.0396174464767004,20.01184,19.06814,18.79607,18.66508,18.7546,0.992235519471908
"57","1237648721248845824",221.379496110018,-0.0488559380842315,18.28246,17.37306,17.115,16.99887,16.96634,0.991595374332133
"59","1237648704593723392",221.386024187621,0.0457810825744435,18.84713,17.87569,17.5145,17.32267,17.26253,0.989856916424697
