"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"2","1237666406846956032",34.5831941088624,-0.968773416315081,23.43643,22.79372,22.52036,21.70258,21.75911,0.150374534235129
"4","1237666406846955776",34.635585160026,-0.892063270077553,24.57653,23.05318,22.80583,21.95456,22.31937,0.150374088910223
"5","1237666406846956032",34.6514847180309,-0.85259423836802,24.2216,22.98314,22.74052,21.87994,21.82232,0.150374204906583
"6","1237663783138820864",34.7018885549747,-0.823395704472498,23.69496,22.99742,22.79377,21.98823,21.50916,0.150374326045684
