"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"2","1.23766226808e+18",241.451038181312,4.46300040452094,22.03581,20.9262,20.39672,20.18379,19.8736,0.41846141845257
"4","1237662268079932160",241.315794868148,4.56592518665811,22.05485,21.66271,21.14668,20.93507,20.82698,0.220392199124361
"8","1237662268079931904",241.372395498147,4.53847655545882,21.07731,19.41402,18.81941,18.58383,18.42411,0.810874437240829
"10","1.23766226808e+18",241.417304612723,4.4157465443495,20.85868,19.34858,18.79543,18.54423,18.33806,0.847605676252464
"11","1.23766226808e+18",241.417095548598,4.42602107761099,21.08858,20.12386,19.69171,19.48395,19.40458,0.696581200888974
"12","1237662268079932160",241.323823414187,4.43474304592538,21.85362,20.79131,20.36852,20.17848,20.15228,0.420724635828112
"13","1237662268079932160",241.324501851747,4.5364809905276,22.23314,21.16873,20.75477,20.49126,20.26194,0.319283836460104
"14","1237662268079932160",241.292097761299,4.46866440207122,21.91774,21.00266,20.49297,20.22594,20.00399,0.398323977214985
"15","1237662268079931904",241.291998987459,4.45294373532778,19.43465,18.06786,17.55507,17.3573,17.3041,0.967622931334657
"21","1237662268079932160",241.292617370171,4.51774664017359,22.15275,21.45596,20.95037,20.63777,20.54589,0.262494843885001
"24","1.23766226808e+18",241.449115660689,4.5326825219587,22.84554,21.25566,20.67661,20.50035,20.16942,0.273102812648737
"25","1.23766226808e+18",241.449174463286,4.53433916376207,19.80405,18.61522,18.12237,17.94839,17.85585,0.953507170769311
"26","1237662268079932416",241.295464086639,4.42216466347538,23.07302,21.69858,21.14567,20.86071,20.71663,0.201558638392553
"33","1.23766226808e+18",241.435091482165,4.50283314667319,19.59543,18.5682,18.07991,17.89264,17.78476,0.960024112082785
"36","1237662268079932928",241.358091070462,4.48251129581787,22.95775,21.5483,21.00183,20.67372,20.76229,0.215321666710329
"38","1.23766226808e+18",241.420140683173,4.50171522855764,21.22492,20.27038,19.80509,19.60728,19.40821,0.662728034826293
"40","1237662268079932160",241.346572038041,4.52828154410519,22.18421,21.05727,20.58398,20.32577,20.27036,0.342758617577494
"41","1237662268079931904",241.361047545105,4.48411769013613,21.22722,19.54238,18.95488,18.70506,18.57556,0.782436798549064
"46","1237662268079931392",241.312445333575,4.46536046298862,20.00336,19.04783,18.6223,18.38109,18.24452,0.927621010366605
"48","1.23766226808e+18",241.440388780038,4.55902410539268,22.46289,21.2003,20.61422,20.39814,20.21719,0.307746289782446
"49","1237662268079931904",241.348272371345,4.47154862394489,19.46467,18.20277,17.71266,17.48861,17.41047,0.965561991719567
"52","1237662268079931904",241.351009346123,4.42510773605385,19.89012,18.58726,18.06833,17.85275,17.76543,0.944218870647727
"53","1237662268079932160",241.339041829998,4.40636094630695,21.85435,20.7327,20.25267,20.10567,20.02069,0.448360357284777
"57","1.23766226808e+18",241.405263228817,4.51591906061176,21.57762,20.20558,19.62962,19.38417,19.30124,0.647553589092541
"60","1.23766226808e+18",241.405586619589,4.43196185577981,22.35351,21.96541,21.52147,21.33652,21.2804,0.179684032539556
"65","1237662268079931904",241.300059516644,4.57274213827269,19.61308,18.25479,17.70479,17.50238,17.41967,0.955938838133589
"66","1237662268079932160",241.326550092984,4.42224682530486,22.46667,21.10958,20.55781,20.36972,20.32981,0.309563974223933
"68","1.23766226808e+18",241.392434688754,4.53989879467853,21.36798,21.02976,20.4627,20.20633,19.99502,0.400048028958649
"72","1237662268079931904",241.32686200829,4.55001419376868,21.07424,19.97584,19.50876,19.30779,19.26724,0.735890021919488
"87","1.23766226808e+18",241.399991634877,4.4763289142937,19.8137,18.44516,17.86392,17.65832,17.51403,0.938956757575568
"90","1.23766226808e+18",241.455382927267,4.45215341899907,21.73316,20.4684,19.89019,19.6489,19.42396,0.583129706602481
"91","1.23766226808e+18",241.390607499513,4.46403073457921,20.03008,18.91177,18.50949,18.3463,18.33408,0.941175065097479
"92","1237662268079932160",241.368749889774,4.56126401139745,21.46449,20.60883,20.17862,19.97376,19.88697,0.513369312593553
"95","1.23766226808e+18",241.421816860587,4.52907014164467,24.47894,21.70855,21.20653,20.93876,20.70341,0.1642253199508
"97","1237662268079931904",241.34108100905,4.52345448311682,20.87642,19.73308,19.24571,19.013,18.83703,0.813271799036001
"98","1237662268079932672",241.341432075697,4.57201764728051,22.79863,21.35969,20.84846,20.58899,20.4938,0.248539588077272
"101","1237662268079931904",241.334809957691,4.55683679360056,21.26664,20.06771,19.48651,19.22642,18.99606,0.726179543773233
"102","1237662268079931392",241.334766050419,4.50568247877236,20.39347,18.96165,18.41103,18.17612,18.06085,0.902719098113371
"103","1237662268079931392",241.28950190125,4.54044940331501,19.15685,18.10417,17.70653,17.52842,17.46947,0.980995201201498
"107","1237662268079932672",241.33025203497,4.54869520606974,22.5138,21.08657,20.49751,20.20139,20.11431,0.330207782917837
"108","1237662268079932160",241.37160595821,4.53190374535035,21.35765,20.28797,19.76263,19.58793,19.40833,0.649255126511115
"110","1237662268079931904",241.330673887608,4.42609081441993,19.56271,18.38399,17.97101,17.80042,17.77507,0.970436182055237
