"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"6","1.237666228572e+18",271.996744072454,24.1181278034157,18.34985,16.60951,15.96633,15.70687,15.57346,0.931601244733405
"9","1.237666228572e+18",272.080199669631,24.1435951388001,18.96326,17.56826,17.04133,16.78681,16.71466,0.962088350677871
"28","1237666211393241856",272.076458827087,24.1948633474744,18.8367,17.18223,16.52859,16.27331,16.11397,0.946172665330712
"30","1.237666228572e+18",271.99915647411,24.1124871854484,19.4815,17.92952,17.314,17.05864,16.93498,0.942541888702034
"32","1237666228571932160",272.002531051132,24.1732185488588,19.4681,18.11437,17.47979,17.23924,17.13702,0.952083675746177
"34","1.237666228572e+18",272.083213859369,24.1553058907501,17.94831,16.45271,15.90823,15.66245,15.59873,0.964519758782434
"37","1.237666228572e+18",272.051423395023,24.135101481169,19.95918,18.23085,17.52746,17.26125,17.13411,0.896848348613838
"45","1237666211393241344",272.054564767991,24.2371954904906,17.23885,16.01246,15.47107,15.27705,15.1586,0.982598892294744
"47","1.237666228572e+18",272.11230799831,24.0863653298193,18.44573,16.81131,16.14254,15.87248,15.75395,0.944491122070877
"49","1.237666228572e+18",272.044873299738,24.100092369616,17.21297,15.7109,15.14229,14.95308,14.86234,0.984320940964505
"54","1.237666228572e+18",272.060451551614,24.1293372500096,17.62334,16.06245,15.4636,15.20482,15.1049,0.966880287298276
"56","1.237666228572e+18",272.060646809257,24.1364707705281,19.13411,17.67758,17.13994,16.89432,16.79165,0.958667582944625
"60","1237666211393241600",272.06077484899,24.2001049640458,18.49464,16.97646,16.41057,16.22314,16.10972,0.965171520172677
"63","1.237666228572e+18",272.090569842956,24.155674905581,19.40914,18.0466,17.51364,17.24183,17.17051,0.95744502942802
"64","1.237666228572e+18",272.091608859633,24.0899206880623,18.67492,17.28157,16.76097,16.50735,16.46493,0.965801983728253
"65","1.237666228572e+18",272.092647707675,24.1450602756548,18.94785,17.5331,16.99286,16.75104,16.6815,0.962270388092244
"66","1237666228571931392",271.984098812087,24.1766535686108,18.63764,17.4623,16.87987,16.64264,16.57256,0.964815449322889
"69","1237666211393241856",272.092104358432,24.194278773811,19.22085,17.86747,17.32666,17.11476,16.99873,0.960801987632282
"71","1237666211393306624",272.14540908649,24.1960897579548,18.72506,17.35939,16.79213,16.58594,16.46355,0.965123650761389
"74","1.237666228572e+18",272.096754175469,24.1533112324577,18.56622,17.30851,16.78599,16.51678,16.45625,0.966602660400678
"76","1237666211393242624",272.098276379428,24.1918382880588,19.46457,18.03141,17.48733,17.2543,17.11301,0.954474835804354
"79","1237666211393241856",272.096909166255,24.2184983354103,19.23324,17.68606,17.03309,16.7654,16.59346,0.939311335638701
"82","1.237666228572e+18",272.073943307072,24.0956944408918,18.64675,17.14735,16.55964,16.28171,16.176,0.960218753377519
"84","1237666211393241600",272.07234721555,24.2202722115964,17.21348,15.62101,15.01871,14.82638,14.71208,0.98411887528939
"85","1237666211393241600",272.073647983144,24.2333849987437,18.27556,16.78392,16.19633,16.01068,15.88824,0.965051504243927
"90","1.237666228572e+18",272.106944152845,24.1171575840066,19.26021,17.75933,17.16995,16.93948,16.87104,0.95584673953034
"91","1237666211393306624",272.163034472857,24.1597502750487,18.63943,17.17982,16.60584,16.37974,16.2748,0.964145043963328
"92","1237666211393306624",272.164420561044,24.235903122716,19.04888,17.58126,17.02782,16.83305,16.72931,0.961874227813797
"93","1237666211393241344",272.043011382845,24.2047171760385,19.42758,17.79547,17.14441,16.90912,16.7772,0.937130186204943
"94","1237666211393241344",272.040816858087,24.1902663277717,16.96113,15.70676,15.1867,14.99003,14.88274,0.987808410267262
"96","1237666228571931392",271.993590744467,24.1949768487603,18.94583,17.8015,17.23801,17.03454,16.95311,0.963067670293585
"97","1.237666228572e+18",271.992338019226,24.1037049315862,18.76122,17.29243,16.74582,16.51076,16.39265,0.9632677423043
"99","1.237666228572e+18",272.13627542057,24.0850985416513,16.95424,15.51164,14.9811,14.78071,14.73449,0.988560795257734
"100","1237666228571932160",271.994526924761,24.1240964434663,19.78053,18.19062,17.49029,17.21844,17.08033,0.916125944097537
"102","1.237666228572e+18",272.160000930561,24.1032184392709,18.91117,17.49944,16.92928,16.68969,16.56024,0.960337305392038
"103","1.237666228572e+18",272.104124301549,24.1160460761886,18.11914,16.72598,16.21304,15.99331,15.93594,0.969704046013645
"104","1.237666228572e+18",272.032332442886,24.1186646068272,19.3305,17.75725,17.18443,16.98786,16.86801,0.95480565096185
