"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237680305862017024",339.077893738544,24.6041226323355,24.50088,23.08398,21.75311,20.53529,19.96015,0.150800768209277
"3","1237680302103921664",339.164616882186,24.7496182744673,24.64978,22.37918,21.17108,19.97333,19.48983,0.151105402454335
"4","1237680305862017280",339.163719665789,24.640456607449,23.1636,21.86212,20.61399,19.38435,18.7205,0.15166722348421
"6","1237680305862018048",339.134464610142,24.5988242610159,25.01265,23.02657,21.68368,20.47604,19.7511,0.150642219166286
"9","1237680305862018304",339.130997856772,24.6125177196918,23.01561,23.39278,22.17888,20.89912,20.16129,0.15112614895714
"13","1237680305862083072",339.161080541124,24.6625734441923,25.49532,22.29514,20.99529,19.74126,19.00395,0.150620712161294
"15","1237680302103856128",339.028903705217,24.6630681308008,23.52648,22.88976,21.70154,20.49137,20.22391,0.151439912947557
"16","1237680305862018304",339.152161938698,24.6450022125769,22.93224,23.5748,22.34272,21.16792,20.67358,0.150817090911636
"17","1237680302103986688",339.206741653808,24.7103951581646,23.06146,22.83097,21.62305,20.42859,19.99998,0.151908375508084
"23","1237680302103921664",339.09861103437,24.7365914181895,22.90497,23.52124,22.34455,21.21397,21.0561,0.150750332644901
"26","1237680302103921664",339.049686576175,24.7414001282695,23.21083,23.63826,22.32146,21.11716,20.4671,0.150789462891038
"28","1237680305862018048",339.119957064172,24.6373134401461,26.20289,23.05648,21.74159,20.60941,19.99057,0.150414956641956
"29","1237680302103921664",339.114175221382,24.7266745112401,26.34805,23.44428,22.23359,20.9182,19.98383,0.150391890127222
"30","1237680305862017792",339.026353813394,24.5902324399264,23.06859,21.86538,20.53446,19.37455,18.56426,0.151311531374046
"31","1237680305862083328",339.204529846772,24.6312476032462,23.22831,21.8746,20.6082,19.40565,18.78576,0.151685606241461
"33","1237680302103921152",339.085889568607,24.6783072531402,23.9172,21.78065,20.45198,19.28224,18.55847,0.151190408771858
