"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"2","1237673808653255936",117.250893053496,17.8371509680866,24.14258,21.55331,20.67261,20.34282,20.03695,0.15383953164575
"3","1237673808653255424",117.271166015942,17.8530668293794,22.80716,20.32679,19.38845,19.07866,18.94538,0.165569385384171
"4","1237673808653255424",117.329621560308,17.7956336245354,20.22958,18.15717,17.28012,16.94254,16.74921,0.487344886375294
"5","1237673808653320192",117.341544993696,17.8869001173735,20.84081,18.39832,17.5095,17.14544,16.94062,0.346742301249163
"6","1237673808653255680",117.197140618274,17.7825972941228,23.82682,20.97079,20.01742,19.6462,19.53422,0.149186685701478
"8","1237674371287810816",117.167712386885,17.8476849678557,21.11707,19.14268,18.22539,17.89099,17.34966,0.309858031873685
"13","1237673808653254656",117.190216946159,17.7911940494466,25.09236,21.62435,20.70667,20.38603,20.16257,0.150643900651686
"14","1237674371287811584",117.190194109426,17.8552770213538,23.95149,22.18028,21.23423,20.8937,20.43184,0.153715202200954
"18","1237673808653254912",117.325014760238,17.7533198726593,23.02057,21.16849,20.35558,20.07149,19.9318,0.165149413263345
"21","1237673808653255168",117.232282406757,17.8526033950305,20.99252,18.88361,17.94208,17.63262,17.44522,0.31743087435233
"22","1237673808653255424",117.33558880979,17.7627908609559,20.67751,18.69661,17.89054,17.60803,17.47318,0.364995073617715
"26","1237673808653255424",117.255178361714,17.7731929921631,22.27781,20.67698,19.89142,19.65381,19.52226,0.19077289902267
"31","1237674371287810816",117.203680490075,17.8848338642739,21.66677,19.75126,18.97353,18.63333,18.55323,0.291223151699537
"32","1237673808653321216",117.340837431851,17.8189298834307,22.81495,21.34205,20.56796,20.2886,20.57575,0.159587394631815
"35","1237673808653255168",117.281660637758,17.7449870768614,22.37836,20.1248,19.25123,18.97856,18.74056,0.203555322646266
"36","1237673808653255680",117.168918562445,17.8093844720288,23.05064,21.83823,20.92164,20.55496,20.15382,0.161190904609953
"38","1237674371287811584",117.184156507902,17.8854800116382,22.75952,20.89459,20.1158,19.80475,19.53656,0.177358910737316
"41","1237673808653255424",117.336893585484,17.7543585764167,20.41976,18.58603,17.77256,17.53043,17.38539,0.384630176203068
"43","1237673808653320704",117.339237362849,17.7862919096096,23.07911,21.17113,20.39636,20.03092,19.73738,0.168341187483607
"45","1237674371287811584",117.178408343314,17.8776340671367,24.18169,21.97232,21.18074,20.99393,20.55474,0.153187899151623
"50","1237673808653255168",117.186184381912,17.7595087628734,20.93914,18.66647,17.74989,17.40614,17.2349,0.315798136796714
"54","1237674371287875584",117.220109579534,17.9106664755186,24.63456,20.80611,19.94773,19.61672,19.53354,0.144861211618739
"59","1237674371287876096",117.198844257905,17.9043582472595,21.43491,18.82291,17.86701,17.55877,17.40057,0.312922792728382
"60","1237674371287811584",117.18044932347,17.8991015298609,23.67973,21.08816,20.14541,19.84253,19.74014,0.152637152580851
"65","1237673808653255936",117.224886048775,17.7612765005912,22.96951,21.34656,20.4297,20.12106,19.83841,0.166048773508736
"66","1237674371287876864",117.2602735038,17.895174531527,22.2421,20.85978,20.00715,19.6858,19.63448,0.184261158625877
"68","1237673808653320704",117.323712809087,17.8350442666155,20.37033,18.3164,17.45343,17.15887,16.98168,0.415630647724615
"69","1237673808653254912",117.305917526526,17.8193544556467,22.27778,19.99088,19.09471,18.80135,18.58244,0.215835493784562
"76","1237673808653255168",117.216155349399,17.7626822904292,20.99468,18.95415,18.05685,17.69479,17.39729,0.311066878762765
"79","1237674371287811072",117.200906584172,17.8742428848591,23.39072,20.4347,19.57232,19.20207,18.88524,0.152597636823353
"80","1237673808653255168",117.202225699415,17.8251623656847,21.34479,18.90825,17.96583,17.64779,17.46536,0.315033756389228
"81","1237673808653255168",117.266510283408,17.8431141217727,21.83791,19.25355,18.33638,17.9929,17.8029,0.294654752083694
"83","1237674371287876096",117.239811033439,17.9082700827819,20.401,18.22085,17.33645,17.01872,16.89021,0.448630943376848
"85","1237673808653255424",117.285867552638,17.8361321683734,22.72043,20.3108,19.39192,19.02985,18.778,0.177291011910763
"87","1237673808653255424",117.306662578704,17.8324316684667,20.26085,18.32066,17.5457,17.26397,17.11963,0.438636096956195
