"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237667211590304256",151.924651430765,25.9468120069739,24.45971,24.14964,22.94813,22.10009,22.50413,0.150375156000201
"2","1237667211590239232",151.803976958945,25.9428487769528,22.87973,24.00698,22.72089,21.74889,21.45801,0.15038502576486
"4","1237667211590304000",151.827930197294,25.9982269062864,25.25435,23.42816,22.15142,21.16664,20.74261,0.15038044392622
"5","1237667211590304768",151.981161324255,25.9286320738854,23.83068,23.55398,22.24202,21.30117,20.89674,0.150394266610516
"7","1237667211590239232",151.819168516912,25.9852438232438,24.88477,23.92456,22.73549,21.75976,20.91236,0.150377148396578
"9","1237667254539781120",151.814973353359,26.0073207449023,22.73772,24.11407,22.91366,21.91937,21.20051,0.15038344412245
"10","1237667211590238976",151.818778486089,25.9134820974283,24.98923,23.1785,21.97872,21.09929,20.41223,0.150387397443278
"11","1237667254539846400",151.892665576201,26.0364870788209,23.86088,23.71332,22.48361,21.57505,21.38062,0.150385217091525
"12","1237667211590304256",151.887499562757,26.0122347674666,23.945,23.35215,22.17369,21.29245,20.81073,0.150398064718752
"15","1237667254539780096",151.806269064517,26.0682582600995,24.86881,23.31966,22.1247,21.29346,22.8267,0.150377779879301
"17","1237667211590304000",151.963074032165,26.0226177980451,23.79489,22.86924,21.6314,20.70446,20.17544,0.150426740645365
"18","1237667254539846656",151.89823323807,26.0722424613295,25.52806,23.57083,22.35433,21.36841,20.83023,0.150377188668114
"20","1237667254539846400",151.905732274678,26.0396449433991,24.89482,23.9708,22.80374,21.86558,21.34467,0.150376223152536
"22","1237667211590238976",151.809944909433,25.9144543623355,25.11266,23.39872,22.0701,21.13291,20.64609,0.150382489568536
"23","1237667211590304768",151.87166870946,25.9622693490695,24.05515,24.10404,22.78993,21.8403,21.47766,0.150378286800167
"28","1237667254539846656",151.975670198189,26.0523659531726,25.86166,24.16758,22.90947,22.05455,22.06356,0.150374258260283
"29","1237667211590304768",151.922036408014,26.0199164152412,24.99874,23.62041,22.3441,21.45801,20.67839,0.150380040107967
