"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"5","1237665583798354432",262.20379048317,35.1720049006994,20.32215,18.16714,17.30574,17.02565,16.84357,0.876257608908628
"6","1237665583798288640",262.203361234206,35.2314186980229,18.56999,16.69905,15.99084,15.78222,15.64658,0.918054303852616
"8","1237665583798288896",262.148705474762,35.2362511927686,19.95097,18.13595,17.39203,17.15569,16.99269,0.875012269819885
"9","1237665583798289152",262.253343658257,35.2279770632846,21.36335,19.21773,18.38959,18.0994,17.88442,0.855366644839675
"12","1237665583798354432",262.291908706089,35.1792998098898,21.72746,19.96485,19.25882,18.99061,18.78481,0.6980693012647
"13","1237665583798288896",262.292412130721,35.2780601876862,19.17458,17.28777,16.52652,16.29913,16.1434,0.911968118246288
"20","1237665583798288896",262.220132814062,35.3081708891702,21.94023,20.32146,19.60749,19.35607,19.17458,0.533248591391491
"23","1237665583798288896",262.249759171527,35.2344471975705,19.27975,17.45157,16.74565,16.52183,16.362,0.904255323482494
"26","1237665583798354432",262.250515138164,35.2025487965011,20.29819,18.3618,17.54177,17.22302,17.0247,0.863447698913184
"30","1237665583798288896",262.252911448882,35.287839684406,20.44824,18.40493,17.59808,17.32306,17.12007,0.885361073250097
"31","1237665583798354432",262.184670116139,35.1658374528799,20.55532,18.55606,17.77768,17.48619,17.32127,0.885697899945408
"34","1237665583798288896",262.316795958035,35.2722132487114,19.87286,17.98565,17.21342,16.98093,16.82803,0.883781337635107
"36","1237665583798354432",262.273788160899,35.2141065898066,21.11653,19.86171,19.10505,18.76289,18.5442,0.786414522746063
"37","1237665583798288896",262.174492690965,35.3045000518426,19.20689,17.32146,16.59418,16.32714,16.18346,0.90548056522692
"38","1237665583798288640",262.315655413805,35.2560896040943,20.09473,18.31876,17.61725,17.36515,17.20976,0.870557651055733
"39","1237665583798354688",262.2391705145,35.1679948146563,22.38597,20.35017,19.63345,19.36734,19.22333,0.431669736733232
"42","1237665583798288896",262.163033873849,35.2830169793794,19.89573,17.64009,16.84784,16.58346,16.43409,0.900247834918193
"51","1237665583798288896",262.138717934494,35.2648575277661,20.75714,18.83111,18.13243,17.88041,17.7675,0.874497547684625
"55","1237665583798288896",262.32080578697,35.321642048537,19.36837,17.32328,16.50323,16.18966,16.05567,0.889974678139596
"57","1237665583798288896",262.170076152669,35.2844624336798,21.93017,20.09891,19.34163,19.0697,18.82328,0.641278576142897
"58","1237665583798288896",262.119119524086,35.2564732995618,19.76886,17.59838,16.74594,16.43827,16.26917,0.86785914973646
"59","1237665583798288896",262.313268489229,35.2702489365037,19.7574,17.96868,17.25959,17.05645,16.925,0.884181072703203
"61","1237665583798353920",262.314779289923,35.2096897410149,18.56972,16.71787,16.006,15.76145,15.61021,0.906806951998169
"62","1237665583798288896",262.313778213994,35.3191528249478,19.46661,17.53254,16.81602,16.57548,16.50432,0.91656334756231
"64","1237665583798288896",262.157920157827,35.2660654798751,21.20228,19.16129,18.40336,18.15095,18.01438,0.852360174499382
"65","1237665583798288896",262.147757621532,35.2840891641406,19.87521,17.72989,16.91525,16.63633,16.49411,0.888806816830533
"72","1237665583798288896",262.236615613513,35.2850003807541,20.7359,18.77106,17.93603,17.65538,17.45485,0.87814052458766
"76","1237665583798354432",262.281813171368,35.1618667542417,19.75491,17.61722,16.80684,16.52323,16.42999,0.900778732359842
"78","1237665583798288896",262.224210803222,35.2449295365036,20.06698,18.1054,17.3075,17.03686,16.85966,0.875519713705122
