"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237667228767093504",49.9297869106301,5.38407357636627,25.37766,23.86806,22.16065,21.43489,20.90274,0.150414150948129
"4","1237667228767093504",49.9435023804893,5.41364632697788,22.92793,23.89314,22.09183,21.32872,21.23418,0.150701764493489
"5","1.237670015664e+18",49.980395777885,5.31938333714756,24.42964,22.51258,20.76673,20.03591,19.61974,0.151520984483979
"6","1237667228767093248",49.9459822243942,5.42593933827718,24.45486,23.00481,21.24153,20.55791,19.70616,0.151114793057908
"7","1.237670015664e+18",49.9471826637201,5.31922210754779,25.29741,23.68812,21.95332,21.21483,20.8947,0.150440503649267
"10","1.237670015664e+18",49.9341501041524,5.30918435501806,23.34315,22.64608,20.91862,20.30135,19.6934,0.152598226317225
"11","1237667228767093248",49.9824273531072,5.38977177425657,25.29864,23.06697,21.29878,20.69166,19.96955,0.150614556114117
"13","1237670015664062720",50.0830331198882,5.27934401892849,24.79829,23.09535,21.21814,20.54332,20.10073,0.150810743717206
"14","1237670015664062464",50.0824266915193,5.2897688395553,24.11102,23.53725,21.77575,21.05499,20.56184,0.150752624651352
"15","1.237670015664e+18",50.0250753609703,5.30420255598563,25.67646,23.76301,21.95597,21.31289,20.55202,0.150413661243976
"18","1237667228767158528",50.002478829176,5.36325866698002,22.49583,22.39355,20.60764,19.91409,19.55024,0.151444321763025
"19","1237667228767158784",50.0033504263444,5.37682902578926,25.54052,23.94062,22.1009,21.33466,20.91822,0.150405415754534
"20","1237667228767093248",49.9616944641787,5.43788863737737,24.00922,22.7067,21.01351,20.33522,19.89699,0.151776781381142
