"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"2","1237659326023336192",233.561284868682,49.2977162843331,23.717,23.17108,21.65509,21.05931,21.61844,0.15038526175173
"3","1237659326023336448",233.592211959016,49.4022674121126,23.90314,22.38576,20.90105,20.29717,19.91461,0.150371406911248
"5","1237659326023337216",233.531673715216,49.3255341900939,24.19346,24.50889,23.07394,22.37862,21.84252,0.150374395893089
"6","1237659326023336448",233.415979442964,49.2718088040466,25.63091,22.82955,21.39529,20.8516,20.49243,0.150377525303702
"7","1237659326023271168",233.43575442773,49.383474953527,23.72929,24.29414,22.80502,22.20881,21.59652,0.15037523944324
"8","1237659326023271168",233.43946268163,49.3935326324062,24.83656,24.31775,22.82724,22.15182,22.60756,0.15037421747113
"13","1237659326023336704",233.614826749833,49.3341738965174,24.72572,22.02669,20.51824,19.86629,19.47528,0.150360021675972
"16","1237659326023336448",233.446307395361,49.3081267702079,25.44589,22.61782,21.10415,20.49607,19.9399,0.150379075014818
"18","1237659326023336448",233.501816633954,49.333283657292,23.86646,22.81388,21.37243,20.85574,20.61876,0.150390543874782
"21","1237659326023270912",233.377159394837,49.4252284854045,24.04104,23.23838,21.74767,21.14114,20.64044,0.15038479587174
"25","1237659326023337216",233.553436992783,49.3335860123636,24.36244,23.75406,22.30282,21.72956,20.89179,0.150377160688125
"26","1237659326023336448",233.511098451047,49.3665180098433,24.49163,22.10083,20.53526,19.98586,19.51769,0.150357340682746
"27","1237659326023336704",233.548148697797,49.2800301822022,23.14288,21.91184,20.38898,19.81468,19.54774,0.150101885717559
"28","1237659326023271424",233.547926286482,49.4275209082483,25.30467,23.78755,22.29606,21.66698,21.35057,0.15037492196382
"29","1237659326023336448",233.547516843919,49.3565182843296,25.00342,23.0623,21.58508,21.05716,20.5301,0.150379720601985
"30","1237659326023336704",233.606305005883,49.3225904906429,23.63504,22.71434,21.2869,20.76506,20.28314,0.150389694430332
"31","1237659326023336704",233.604832595277,49.3118294786688,23.28163,22.41916,20.92303,20.30972,19.78688,0.15033658016544
"34","1237659326023336448",233.533024485092,49.3883747116509,23.52127,22.69443,21.24022,20.71073,20.49315,0.150389031446454
"36","1237659326023271680",233.402145902791,49.320325888902,25.85715,24.25462,22.72199,22.10869,22.00277,0.15037408984023
"40","1237659326023337216",233.515957233511,49.311362797019,23.90099,23.98038,22.42109,21.83056,21.29271,0.150376836176891
"42","1237659326023336704",233.602577407776,49.3606999250551,23.66688,22.48776,20.94962,20.28921,19.79559,0.150364828097013
"43","1237659326023271424",233.483878985894,49.4217334518406,25.29718,24.30249,22.694,22.02415,21.97773,0.150374222210614
"44","1237659326023271168",233.441346995737,49.4109692137536,25.14672,22.0046,20.38902,19.8526,19.30057,0.15036527202389
"47","1237659326023270656",233.405788548114,49.3695601899987,24.71076,21.42093,19.81014,19.27448,18.90395,0.150262271058059
