"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237657877538210816",115.767490617104,22.1717267615518,24.6477,22.09147,20.65186,19.85496,19.51137,0.144418400903533
"2","1237660344460051200",115.980604036553,22.0733919485972,22.65273,20.22004,18.80529,17.9841,17.53521,0.251191694669325
"3","1237660344460050944",115.926349186073,22.0739936863381,21.72643,19.33764,17.92385,17.13159,16.68223,0.156334196519974
"4","1237660344459985408",115.885718639324,21.9747499164801,21.53166,19.00515,17.62572,16.83351,16.48994,0.121266130081312
"5","1237657877538145024",115.689033291244,22.0861426525907,23.32788,20.86781,19.39728,18.66248,18.13287,0.163908777068972
"6","1237657877538210816",115.753668803451,22.0896794585073,23.8006,21.82438,20.40059,19.68863,19.29919,0.137310774522641
"7","1237657877538210304",115.778330449307,22.0979697817017,21.51385,18.9605,17.51056,16.65011,16.20164,0.123664771400815
"8","1237660344459985664",115.86128603873,22.0203080031131,23.01896,20.08529,18.69763,18.00901,17.70239,0.232398987228503
"9","1237657877538276096",115.828926126875,22.2528932202681,23.44352,21.20229,19.84194,19.13724,18.60445,0.143506310826475
"10","1237660344460051456",115.952290110189,22.1174064835534,23.19566,20.98668,19.57279,18.86116,18.40296,0.154489061900106
"11","1237657877538144768",115.73554870369,22.0426036375017,23.6666,21.3582,19.85102,19.07631,18.62369,0.140367758477364
"12","1237660344460050944",115.968750811412,22.0997391180764,21.02937,18.37285,16.95066,16.10528,15.64459,0.329247637956774
"13","1237660344460050944",115.935026464715,22.0451226834718,21.38838,18.95819,17.55361,16.81577,16.41222,0.0950402383080603
"14","1237657877538210304",115.739618627454,22.152867191763,23.69027,20.86709,19.37907,18.6868,18.33117,0.146921925120326
"15","1237660344460116224",116.025781528857,22.2019740891834,23.34753,20.34237,18.83291,18.04319,17.60456,0.205237474483252
"16","1237660344460051456",115.904500927332,22.0905772416187,22.97088,20.98092,19.59531,18.87008,18.49036,0.156216337215108
"17","1237660344459986176",115.889430958847,22.0197755867346,23.22015,21.97927,20.52918,19.77366,19.30813,0.136933857928847
"18","1237657877538210560",115.734415267512,22.2710745580021,22.58452,20.42614,19.0508,18.36971,17.94321,0.222044545765222
"19","1237660344459986176",115.856928107132,22.0091027563468,24.78582,21.24331,19.82095,19.00176,18.60843,0.141381216104483
"20","1237660344460116480",116.032010914408,22.2470821572064,21.38469,18.60081,17.17508,16.47694,16.09478,0.220752382392108
"21","1237657877538210048",115.821414539531,22.2019596752087,23.46353,20.23091,18.78551,17.97002,17.46299,0.211811769011269
"22","1237657877538210304",115.864517747239,22.1250162581538,22.31179,20.06584,18.65296,17.87574,17.36921,0.269582200936972
"23","1237657877538210816",115.864198285038,22.1459157526372,24.91191,21.98098,20.60732,19.89688,19.45394,0.145315360583188
"24","1237660344459985152",115.86345829045,21.9802864145111,23.81087,21.21343,19.83562,19.14513,18.7952,0.135922804810327
"25","1237660344460116736",115.977179636058,22.1624887332358,23.42987,21.66789,20.31493,19.59469,19.09085,0.137352043316312
"26","1237660344460051200",115.932662177992,21.9832069521643,23.66113,22.08332,20.62754,19.88627,19.62299,0.137540860680361
"27","1237660344460116736",116.001651966928,22.1352243584694,24.89967,21.58852,20.14728,19.45353,19.14589,0.142072121215961
"28","1237660344460116736",116.017163443979,22.2243002348996,22.26184,21.0328,19.57837,18.85553,18.4606,0.17658784565059
