ObjID,ra,dec,score_locus,score_straight,references_in_locus,references_in_straight,references_total
1237666211932472576,277.6535482089467,22.51118007167663,24.12201029044596,18.407889342614663,99,81,216
1237672026242615808,329.05965574068796,46.258542865028865,249.70679211716026,212.9040651398708,398,345,1240
1237671141475483904,169.8919733565749,-10.854714325422734,20.891865525433836,12.714147620212286,31,19,80
1237655371442749696,218.45836250007056,59.339293728412535,2.1473541134138965,1.2277369156175022,14,8,32
1237657769630827008,135.91043823579736,44.431227738656965,3.0447971168169516,1.6417806551150504,21,11,52
1237662664284242176,225.5431244138086,33.867598424428934,12.085497280925496,6.626866856227185,19,10,50
1237666226426939392,276.905608673946,20.379462599936033,115.8610531924128,102.957646466741,305,266,765
1237666339734094080,35.30918196703563,0.4234397911630467,1.3533052154117478,0.601511135443705,9,4,16
1237659326552342784,207.22266226868504,58.81148804952596,4.925735609822896,3.471684935344832,31,22,74
1237663784207384832,22.851114968605884,0.11822603052676368,3.308208751031221,1.9548766800782436,22,13,64
1237657590853271808,158.10453947052838,52.257243240406936,5.915213247421683,3.4737919611743933,15,8,39
1237668731456390144,300.6511789674007,-11.016444835682066,8.24354296967555,5.1819138630961135,56,35,139
1237648703520047360,221.45104573334137,-0.7129513761971694,2.977633878817763,0.5477871651552496,16,3,29
1237671769616875776,260.78585265771915,65.33371338773418,19.409893689558963,12.451456237884127,20,13,58
1237668297133850880,193.34706817699836,18.976027093617134,4.348729335122381,2.5004396935879045,28,16,62
